BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area,,,
0,1,4,0,2,1,0,0,1,1,2,1,1,1,0,0,1,2,1,0,0,1,1.115572779,18.18493,5633171.698,36,0.859940093,7217.661027
0,1,5,1,3,0,3,0,1,0,1,1,1,2,2,0,1,2,1,2,0,0,1.362429703,14.325371,5889020.15,36,0.908056301,5373.193453
0,1,0,0,2,1,3,4,1,1,1,0,0,2,0,0,3,1,2,2,1,0,0.975412245,16.767209,6166999.105,35,0.82171709,6072.61099
0,1,1,0,1,4,4,3,1,2,3,0,1,1,1,1,3,0,0,0,0,1,0.910083212,19.238802,6184035.768,35,0.830471466,31563.3697
0,0,0,1,2,0,3,3,0,0,2,0,0,0,1,1,1,2,2,0,1,2,1.433657928,13.008797,5209564.518,34,0.883468175,5685.683828
0,1,3,1,1,1,2,3,1,1,2,1,0,1,0,0,0,2,2,2,1,2,0.959487801,20.18596,6348907.13,32,0.866213543,13820.8492
0,1,4,2,3,1,3,0,1,1,1,0,1,0,0,2,1,1,1,2,1,1,1.06437336,16.064459,5996569.376,32,0.834768895,6983.623549
0,0,1,0,2,2,2,3,0,2,1,0,1,1,1,3,0,2,0,0,1,0,1.09729263,19.7451,5586485.84,31,0.870374019,8797.083052
0,1,0,0,3,0,3,3,1,0,2,0,1,1,2,2,3,0,2,1,0,0,1.360797187,19.24642,5728270.09,31,0.958987218,10147.07104
0,1,4,1,2,1,1,1,0,1,1,1,1,2,2,2,3,2,0,1,2,0,0.989532645,15.192436,5661634.748,31,0.783320071,6149.252711
0,0,1,2,2,2,2,0,1,0,3,1,1,1,0,2,0,1,2,0,2,1,1.283535131,20.04889,5696599.835,30,0.941368932,8513.452728
0,1,2,0,1,2,2,4,0,2,1,0,1,2,2,3,1,2,2,1,2,1,0.954685308,16.93872,5921250.145,30,0.805118895,6281.095866
0,1,3,0,0,1,3,1,1,0,3,0,0,2,1,1,2,0,2,1,0,2,1.098772916,13.501949,5605286.466,30,0.796712103,21329.6139
0,0,2,0,0,2,2,3,1,1,1,0,0,0,0,1,1,2,0,2,0,2,1.038464246,14.798272,5993417.733,29,0.810762832,6373.113912
0,1,3,0,2,2,2,2,0,1,2,1,1,1,0,1,3,1,2,2,1,1,0.936043614,21.41211,5826659.229,29,0.848160931,8020.62006
0,0,0,0,3,3,0,4,1,0,0,1,1,0,0,2,0,1,0,0,2,1,1.340991681,17.185932,5781691.999,28,0.930172673,7828.887438
0,0,0,2,2,2,2,1,1,2,3,0,1,2,2,2,0,0,1,2,0,1,1.010145444,21.13576,6085427.246,28,0.881915856,8329.088147
0,0,2,1,3,0,1,2,1,0,3,1,0,1,2,2,1,0,0,1,2,1,1.392491537,15.63552,5489018.335,28,0.914698351,14337.98576
0,0,0,0,0,2,2,1,1,2,0,0,1,0,1,0,2,0,0,1,2,2,1.102581071,19.43538,5532467.058,27,0.865832527,9461.973545
0,0,2,0,0,2,2,3,0,2,2,1,0,0,2,1,2,0,1,2,2,1,1.065931633,14.43656,5510519.314,27,0.79247138,8356.765613
0,0,4,1,1,1,2,4,0,1,1,0,0,0,2,0,3,0,2,1,2,1,1.106677307,16.19322,5273538.218,27,0.815834507,7406.092539
0,0,4,2,1,1,0,4,1,1,0,0,1,1,0,3,2,1,0,2,2,2,1.130114336,15.45273,5931824.183,27,0.846233123,6282.373922
0,0,4,1,2,3,2,2,1,0,3,1,0,2,1,2,1,2,2,0,1,1,1.205259754,15.687013,5882632.581,27,0.871742559,28256.63688
0,0,2,0,3,3,3,0,1,3,1,1,1,2,2,3,3,0,2,0,1,1,1.216597689,17.471252,5765004.325,26,0.891345837,8758.927463
0,0,2,2,1,1,0,1,0,1,2,0,0,0,1,1,0,2,2,0,1,0,1.188342328,12.245249,5196313.998,26,0.79189768,5471.723071
0,1,1,1,1,2,2,4,0,1,1,0,0,0,0,3,1,0,0,1,2,2,0.980289849,21.83026,5739085.032,26,0.863748748,10512.10802
0,1,5,0,1,1,3,2,0,1,1,0,0,2,2,3,0,1,0,2,2,1,0.99886821,18.33276,5730801.744,26,0.827497597,8213.363599
0,1,5,0,1,2,2,1,1,2,1,0,1,0,0,2,2,0,2,2,2,2,0.909527836,17.867684,6149240.029,25,0.812146343,8009.324083
0,0,4,1,2,1,1,2,1,1,0,0,0,2,2,0,0,2,0,2,0,0,1.157189711,14.01905,5801880.892,24,0.831808622,4685.07494
